mpisize,file,filesize,walltime,rate(MB/s)
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test244.nc,34359750521,1879.18367791,18.2844023843
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test88.nc,34359750521,1878.9887948,18.286298788
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test203.nc,34359750521,1891.4509871,18.1658159558
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test253.nc,34359750521,1930.52726698,17.7981171821
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test101.nc,34359750521,1965.67513299,17.4798724084
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test241.nc,34359750521,1969.33509111,17.4473865195
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test45.nc,34359750521,1970.6836741,17.435446882
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test170.nc,34359750521,1972.37539697,17.4204923535
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test115.nc,34359750521,1978.53231096,17.3662822339
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test43.nc,34359750521,1979.44269609,17.3582951347
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test77.nc,34359750521,1987.67545605,17.2863987511
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test138.nc,34359750521,1991.80675006,17.2505442709
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test179.nc,34359750521,1993.28791094,17.237725836
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test127.nc,34359750521,1996.80726814,17.2073444789
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test16.nc,34359750521,2006.28501606,17.1260564905
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test232.nc,34359750521,2010.87898993,17.0869309854
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test44.nc,34359750521,2013.44557285,17.0651499024
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test89.nc,34359750521,2017.9440589,17.0271075502
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test5.nc,34359750521,2022.86287093,16.9857042782
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test132.nc,34359750521,2026.42868185,16.955815336
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test134.nc,34359750521,2025.6310339,16.9624921548
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test71.nc,34359750521,2027.26689792,16.9488045981
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test64.nc,34359750521,2027.93296504,16.9432378256
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test239.nc,34359750521,2032.47840309,16.9053459406
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test169.nc,34359750521,2033.67839813,16.8953707492
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test41.nc,34359750521,2033.90129209,16.8935191962
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test213.nc,34359750521,2034.63263702,16.887446852
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test63.nc,34359750521,2035.9961431,16.8761373333
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test34.nc,34359750521,2046.49386692,16.7895692611
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test224.nc,34359750521,2047.13691998,16.784295269
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test185.nc,34359750521,2060.8402698,16.672689788
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test171.nc,34359750521,2063.26887703,16.6530649028
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test40.nc,34359750521,2074.8836751,16.5598442618
64,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test121.nc,34359750521,2080.62153101,16.5141761771
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test233.nc,34359750521,179.077888012,191.870425224
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test5.nc,34359750521,180.099069118,190.782499261
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test136.nc,34359750521,179.366147995,191.562069572
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test234.nc,34359750521,190.303478956,180.552403505
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test208.nc,34359750521,2171.50992393,15.8229765115
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test93.nc,34359750521,2236.39964414,15.3638687124
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test96.nc,34359750521,2260.95952296,15.1969772886
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test5.nc,34359750521,2341.95721698,14.6713826674
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test184.nc,34359750521,2357.55149603,14.5743372218
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test236.nc,34359750521,2367.08949804,14.5156110698
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test22.nc,34359750521,2383.30203199,14.4168678832
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test223.nc,34359750521,2422.64660311,14.1827332459
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test70.nc,34359750521,2422.78986907,14.1818945834
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test200.nc,34359750521,2435.53627205,14.107673499
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test252.nc,34359750521,2444.07077217,14.0584106288
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test62.nc,34359750521,2450.70626712,14.0203462904
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test48.nc,34359750521,2452.66092396,14.0091727256
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test137.nc,34359750521,2457.27032685,13.9828940046
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test127.nc,34359750521,2468.90577984,13.9169954567
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test110.nc,34359750521,2477.20987415,13.870342953
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test56.nc,34359750521,2491.05679417,13.7932425312
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test76.nc,34359750521,2502.47161198,13.7303257933
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test4.nc,34359750521,2529.01101899,13.5862399424
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test159.nc,34359750521,2541.21169615,13.5210106947
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test241.nc,34359750521,2546.46436,13.4931205246
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test45.nc,34359750521,2551.94886684,13.464121859
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test34.nc,34359750521,2564.74119592,13.396965969
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test81.nc,34359750521,2565.26055717,13.3942536266
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test122.nc,34359750521,2583.81258488,13.2980815722
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test172.nc,34359750521,2586.87340903,13.2823470994
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test191.nc,34359750521,2592.44407201,13.2538058938
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test106.nc,34359750521,2595.61578488,13.2376104049
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test75.nc,34359750521,2605.95895982,13.1850697002
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test218.nc,34359750521,2608.06496119,13.1744228124
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test69.nc,34359750521,2617.90031505,13.1249269972
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test108.nc,34359750521,2628.48913193,13.0720534864
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test46.nc,34359750521,2642.13669109,13.0045317628
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test158.nc,34359750521,2645.24589396,12.9892463304
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test39.nc,34359750521,2650.22762418,12.9648299669
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test174.nc,34359750521,2660.56776905,12.9144428947
128,http://host298.jc.rl.ac.uk/thredds/fileServer/data/hiresgw/test175.nc,34359750521,2671.16655397,12.8632003384
